Plot,soilpH,soil-waterpH,BufferpH,P(kg/ha),K(kg/ha),Ca(kg/ha),Mg(kg/ha),Zn(kg/ha),CashCrop
KS101,5.18,6.05,6.43,513,201,5453,446,4,Fiber
KS102,5.55,6.39,6.66,489,216,5689,462,3,Grain Hemp
KS103,5.42,6.27,6.61,436,181,6038,469,3,Corn
KS104,5.12,6,6.47,321,160,4655,403,2,Corn
KS105,4.67,5.59,6.26,275,157,3896,384,2,Soybean
KS106,5.08,5.96,6.46,278,160,4756,405,2,Soybean
KS201,5.16,6.04,6.49,420,205,5436,446,3,Soybean
KS202,5.08,5.96,6.46,445,212,5223,472,3,Fiber
KS203,5.34,6.2,6.54,462,172,5359,431,2,Soybean
KS204,5.03,5.92,6.47,429,189,4461,410,2,Grain Hemp
KS205,4.73,5.64,6.34,429,166,4215,389,3,Corn
KS206,5.12,6,6.45,504,189,5532,484,2,Corn
KS301,4.99,5.88,6.49,476,230,4041,293,5,Corn
KS302,5.23,6.1,6.65,447,188,4473,440,3,Fiber
KS303,5.15,6.03,6.54,493,165,4878,395,2,Corn
KS304,5.1,5.98,6.56,526,182,4940,480,3,Soybean
KS305,4.83,5.74,6.41,452,196,5068,522,2,Grain Hemp
KS306,4.9,5.8,6.41,436,162,5271,425,2,Soybean
KS401,5.24,6.11,6.63,410,203,4260,399,4,Grain Hemp
KS402,5.05,5.94,6.58,427,161,3815,359,3,Soybean
KS403,5.17,6.04,6.62,519,185,4484,354,2,Corn
KS404,5.31,6.17,6.51,567,214,5549,498,2,Corn
KS405,5.27,6.14,6.52,518,205,5425,507,3,Fiber
KS406,5.4,6.25,6.62,474,191,5308,463,2,Soybean
KS501,5.25,6.12,6.56,436,177,4220,360,2,Soybean
KS502,5.07,5.95,6.42,537,208,5184,451,3,Corn
KS503,5.28,6.14,6.49,543,274,6528,552,3,Grain Hemp
KS504,5.46,6.31,6.59,498,191,5943,473,3,Soybean
KS505,5.51,6.35,6.65,483,204,5288,417,2,Corn
KS506,5.37,6.23,6.59,517,216,5168,464,3,Fiber
UK101,5.94,6.75,6.82,457,268,5901,517,4,Soybean
UK102,5.89,6.7,6.8,487,311,5860,526,4,Corn
UK103,6.09,6.88,6.94,530,335,6560,568,5,Soybean
UK104,5.87,6.68,6.82,571,378,5730,526,4,Fiber
UK105,6.3,7.07,7.04,521,534,6527,545,6,Grain Hemp
UK106,5.87,6.68,6.86,546,323,5335,503,4,Corn
UK201,6.08,6.87,6.95,541,329,6275,526,18,Corn
UK202,5.94,6.75,6.88,554,367,5418,524,6,Corn
UK203,6.2,6.98,6.99,537,417,6148,517,17,Grain Hemp
UK204,5.9,6.71,6.86,557,335,5453,503,28,Soybean
UK205,6.08,6.87,6.95,519,382,6333,567,7,Soybean
UK206,6.05,6.85,6.95,463,284,5551,534,10,Fiber
UK301,6.13,6.92,6.95,498,287,6115,537,4,Corn
UK302,5.87,6.68,6.87,474,407,5752,521,9,Grain Hemp
UK303,5.73,6.55,6.79,436,312,5272,473,4,Soybean
UK304,5.94,6.75,6.89,532,385,5603,519,4,Corn
UK305,5.99,6.79,6.91,489,371,5996,535,9,Soybean
UK306,5.84,6.65,6.82,485,273,5558,492,4,Fiber
UK401,5.63,6.46,6.75,497,391,5225,490,4,Soybean
UK402,5.79,6.61,6.8,473,510,5391,502,9,Corn
UK403,5.82,6.64,6.84,450,280,5337,473,5,Fiber
UK404,5.67,6.5,6.74,497,380,5067,478,5,Soybean
UK405,5.93,6.74,6.88,481,401,5383,497,10,Corn
UK406,5.91,6.72,6.87,479,406,4915,459,3,Grain Hemp
UK501,6.11,6.9,6.97,524,473,5719,553,23,Fiber
UK502,6.03,6.83,6.92,464,332,5471,490,17,Soybean
UK503,5.83,6.65,6.86,469,387,5108,479,4,Grain Hemp
UK504,6.06,6.85,6.94,474,287,5204,483,18,Corn
UK505,5.96,6.76,6.91,452,294,5191,473,35,Corn
UK506,5.86,6.67,6.87,395,255,4944,443,9,Soybean
